Trial,Assigned_TTT_old,Assigned_TTT,Species,Tissue,W.crab_W.O.crab,Type,Planned_Starting_FW_g,Post_Trial_Dryweight_g
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,Without Crab,Control,1.5 +/- 0.05,0.38
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,Without Crab,Control,1.5 +/- 0.05,0.33
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,Without Crab,Control,1.5 +/- 0.05,0.4
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,Without Crab,Control,1.5 +/- 0.05,0.35
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,Without Crab,Control,1.5 +/- 0.05,0.36
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,Without Crab,Control,3 +/- 0.05,0.19
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,Without Crab,Control,3 +/- 0.05,0.14
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,Without Crab,Control,3 +/- 0.05,0.16
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,Without Crab,Control,3 +/- 0.05,0.19
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,With Crab,Treatment,1.5 +/- 0.05,0
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,With Crab,Treatment,1.5 +/- 0.05,0.38
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,With Crab,Treatment,1.5 +/- 0.05,0
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,With Crab,Treatment,1.5 +/- 0.05,0
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,With Crab,Treatment,1.5 +/- 0.05,0
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,With Crab,Treatment,1.5 +/- 0.05,0
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,With Crab,Treatment,1.5 +/- 0.05,0.07
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,With Crab,Treatment,1.5 +/- 0.05,0
Summer 2017,Pickleweed and Ulva,trial (iii),Ulva lactuca,Algae,With Crab,Treatment,1.5 +/- 0.05,0.3
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,1.5 +/- 0.05,0.37
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,1.5 +/- 0.05,0.37
